tier,city,plane_class,n,n_beyond_25m,n_ratio_flat,ratio_flat_p10,ratio_flat_p50,ratio_flat_p90,n_ratio_pp,ratio_pp_p10,ratio_pp_p50,ratio_pp_p90
0.30,bend,ground,8977,37,8940,0.828594,0.892112,0.941291,8936,0.923135,0.981272,1.03049
0.30,bend,floor,36216,1639,34577,0.817485,0.90856,0.961538,34561,0.901647,0.997961,1.0646
0.30,paterson,ground,5138,190,4948,0.66501,0.798487,0.926494,4939,0.903775,0.98307,1.07188
0.30,paterson,floor,26747,5151,21596,0.670774,0.847999,0.961538,21592,0.89594,1.01412,1.14895
0.30,gainesville,ground,5529,281,5248,0.55594,0.708634,0.884407,5246,0.892385,0.990826,1.10698
0.30,gainesville,floor,14079,2302,11777,0.592663,0.757606,0.961538,11777,0.881699,1.01243,1.17669
0.30,sao_paulo,ground,2759,71,2688,0.753023,0.864765,0.935817,2687,0.897369,0.982874,1.06628
0.30,sao_paulo,floor,14812,1075,13737,0.758735,0.895817,0.961538,13732,0.890634,1.02283,1.15785
0.30,pooled,ground,22403,579,21824,0.656839,0.85833,0.933095,21808,0.908271,0.983209,1.05917
0.30,pooled,floor,91854,10167,81687,0.698195,0.884915,0.961538,81662,0.895685,1.00751,1.11298
0.55,bend,ground,8977,37,8940,0.828594,0.892112,0.941291,8936,0.923135,0.981272,1.03049
0.55,bend,floor,36216,1639,34577,0.817485,0.90856,0.961538,34561,0.901647,0.997961,1.0646
0.55,paterson,ground,4590,116,4474,0.666607,0.799437,0.926081,4466,0.903842,0.98327,1.07184
0.55,paterson,floor,22455,3519,18936,0.670579,0.844943,0.961538,18932,0.89645,1.01247,1.14194
0.55,gainesville,ground,3728,150,3578,0.558028,0.706272,0.881419,3577,0.892035,0.986831,1.09611
0.55,gainesville,floor,8907,1120,7787,0.591705,0.751068,0.961538,7787,0.88001,1.00635,1.15673
0.55,sao_paulo,ground,1736,26,1710,0.762388,0.868479,0.936452,1709,0.90508,0.983296,1.06029
0.55,sao_paulo,floor,8579,425,8154,0.766504,0.896974,0.961538,8151,0.894937,1.02062,1.14417
0.55,pooled,ground,19031,329,18702,0.670796,0.865368,0.934732,18688,0.911425,0.98253,1.05166
0.55,pooled,floor,76157,6703,69454,0.708002,0.888062,0.961538,69431,0.897075,1.00507,1.09792
