city,convention,n_marks,n_gt_panos_judged,n_gt_panos_skipped,above_horizon,beyond_25m,frac_above_horizon
richmond,off,310,124,0,5,52,0.016129032258064516
richmond,documented,310,124,0,0,58,0.0
richmond,pitch-flipped,310,124,0,13,51,0.041935483870967745
richmond,roll-flipped,310,124,0,10,59,0.03225806451612903
richmond,both-flipped,310,124,0,17,56,0.054838709677419356
richmond,pitch-only,310,124,0,4,55,0.012903225806451613
richmond,roll-only,310,124,0,4,55,0.012903225806451613
richmond,road-relative,310,124,0,2,57,0.0064516129032258064
clovis,off,195,125,0,0,21,0.0
clovis,documented,195,125,0,0,14,0.0
clovis,pitch-flipped,195,125,0,0,21,0.0
clovis,roll-flipped,195,125,0,1,26,0.005128205128205128
clovis,both-flipped,195,125,0,3,27,0.015384615384615385
clovis,pitch-only,195,125,0,0,23,0.0
clovis,roll-only,195,125,0,0,14,0.0
clovis,road-relative,195,125,0,1,13,0.005128205128205128
morgantown,off,267,125,0,0,17,0.0
morgantown,documented,267,125,0,0,22,0.0
morgantown,pitch-flipped,267,125,0,7,27,0.026217228464419477
morgantown,roll-flipped,267,125,0,2,27,0.00749063670411985
morgantown,both-flipped,267,125,0,9,31,0.033707865168539325
morgantown,pitch-only,267,125,0,0,22,0.0
morgantown,roll-only,267,125,0,0,20,0.0
morgantown,road-relative,267,125,0,0,21,0.0
annapolis,off,294,125,0,3,50,0.01020408163265306
annapolis,documented,294,125,0,0,56,0.0
annapolis,pitch-flipped,294,125,0,33,45,0.11224489795918367
annapolis,roll-flipped,294,125,0,0,49,0.0
annapolis,both-flipped,294,125,0,33,46,0.11224489795918367
annapolis,pitch-only,294,125,0,0,56,0.0
annapolis,roll-only,294,125,0,4,56,0.013605442176870748
annapolis,road-relative,294,125,0,0,50,0.0
laurens,off,249,94,0,0,9,0.0
laurens,documented,249,94,0,0,13,0.0
laurens,pitch-flipped,249,94,0,4,11,0.01606425702811245
laurens,roll-flipped,249,94,0,0,16,0.0
laurens,both-flipped,249,94,0,2,14,0.008032128514056224
laurens,pitch-only,249,94,0,0,13,0.0
laurens,roll-only,249,94,0,0,14,0.0
laurens,road-relative,249,94,0,0,12,0.0
